UnitID,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
177834,108431567,102316809,98383267,88685032,90384866,87668443,76658903,69989026,70374490,59006221
180203,,,,,,,,,,
222178,444076565,431945603,384583626,351988153,382839788,370426298,330702573,307124825,302232657,266135139
138558,,,,,,,,,,
451079,,,,,,,,,,
457271,29442,36039,1273,51001,85000,100000,,,,
108269,,,,,,,,,,
210508,,,,,,,,,,
384306,,,,,,,,,,
126182,,,,,,,,,,
188429,186036085,188578577,179762036,166191992,165664071,174477346,149312321,136116979,121107043,105754978
374024,,,,,,,,,,
142832,101690,98200,98200,98200,81200,80000,5008,5003,,1110885
168528,33975240,36705997,35135415,33612890,31441157,32027537,27351747,24607079,22959880,22360694
133872,8625440,8283147,7823186,7418918,7120986,6896789,6358548,5981890,4159922,2419221
138600,217142446,229425820,229886873,223093814,261455879,272331405,251001216,240857513,259283516,234972872
200697,,,,,,,,,,
100654,,,,,,,,,,
483975,194885,,,,,,,,,
100724,,,,,,,,,,
102580,46833,46833,46833,46833,48721,57605,57471,46833,48433,47633
102669,74723616,99505839,84763279,88442076,88911394,103679684,102565270,59393247,51789416,50618868
188526,55402537,51444313,46417075,41288529,40499118,38615529,23298363,21258400,17033621,9462767
188535,66973794,66073279,67357721,64659751,66809503,70016775,56790189,47899668,45687824,25307190
188580,101064000,115264000,98766000,97915000,102920806,99213964,84204906,76393351,80313486,71224653
138716,,,,,,,,,,
385415,300285206,,,,,,,,,
128498,26162088,26275879,7850942,6948392,6799067,6474325,5433307,4474506,4481920,3749440
168546,170105514,174309623,176849628,173073245,181488489,187707113,173147287,161163055,168354268,143511577
132842,,,,,,,,,,
241331,1212717,982150,1024655,643894,818470,1142629,1210222,1213132,1000480,943267
210571,69353651,69325252,67742285,62894902,65568547,64423254,57785112,51253102,53310925,43959254
175342,,,,,,,,,,
495192,,,,,,,,,,
237118,17367369,18150386,17923351,17715229,5137746,5381351,5499257,10691284,18149485,16024512
188641,138253806,129318223,118618959,105846496,107966345,108873666,93754316,85945117,89705816,79795105
156189,45026330,43329427,40783945,38008067,37046188,35791310,31852216,28952264,28198004,25786632
210669,230452902,220835715,204512720,181636170,183134080,184693333,162801245,146516149,153504500,134557798
200873,293358,258308,228654,217688,183662,,116627,115142,114932,115489
152798,7880114,7457276,6885464,6678037,5656103,2601700,1872763,1805613,1765813,1764813
217624,315639,739913,312884,734959,312884,,312884,312884,,
168591,124518463,124001841,120712604,109946264,114761906,116462048,102679827,96751711,101187131,85138836
168607,,,,,,,,,,
210775,26524784,26943683,24737774,21839253,22407663,22835679,20572623,19663518,17246377,14347670
238193,31658366,29962845,27709006,23854949,25425125,25317427,22260140,19843863,20911042,17442811
222628,40989877,40907900,38281011,34566591,34374233,,27920358,23584437,23140192,19030737
490081,,,,,,,,,,
142887,,,,,,,,,,
219505,1800774,1729580,1749725,1648712,1768207,2101146,1738815,2136808,2817032,2265468
210809,60893467,68079599,63416853,58847567,52954618,49808426,41310907,34956582,34827356,31985325
485698,624372,,,,,,,,,
109086,25476819,25691809,24684059,23540015,24971547,25302449,23403043,21697189,22439349,19901983
108870,13012602,12614035,11997003,11489725,12099523,7961927,7561179,9250529,8826902,6474612
164447,20673572,19500413,17991847,15669771,15500858,15195268,10199296,8901421,9048349,7625312
142957,,,,,,,,,,
116846,22193737,22105188,22193737,21021049,22559067,22962937,21622002,21631471,22090280,21082636
188854,,,,,,,,,,
240736,,,,,,,,,,
131159,705027000,676430000,622000000,558089000,590000000,546000000,535000000,466000000,455000000,385000000
241128,,,,,,,,,,
241100,,,,,,,,,,
164465,2473283206,2377537246,2248140501,2031842927,2193510735,2149202662,1823748203,1640666036,1641510807,1385745379
100690,174805,174804,174805,174804,174805,174804,174805,174805,174805,174805
151865,19507534,19585191,18109526,16743201,17427621,17157080,15992105,15108600,17301036,12369659
150066,32246000,35280000,32408000,29902000,31276000,29581000,25477000,21732000,24589000,22019000
217633,45967230,46133121,44683602,40902989,41155422,40530638,37847840,,32169012,27265094
138761,7319337,8947283,9882379,9467270,9918409,10217938,9248841,9258931,10752764,9766148
168740,55603709,54998281,53052757,49005962,52308442,43059109,40398951,36099181,37662450,32216765
222831,,,,,,,,,,
164492,5561223,5152861,4769545,4574232,4266443,3535889,3279094,633783,592477,498102
109350,,,,,,,,,,
483018,45750199,42443583,43842675,43095058,44420928,45301265,44321471,,,
458113,24200,25114,24015,20951,24457,23076,22214,21352,20500,
485908,,,,,,,,,,
245838,,,,,,,,,,
245892,,,,,,,,,,
245865,,,,,,,,,,
442392,,,,,,,,,,
245847,,,,,,,,,,
245883,,,,,,,,,,
237136,1682121,1657650,1629018,1512947,1527135,1487251,1445820,1372195,1339504,1177716
449922,425299,416698,385077,375677,632477,593703,585634,596600,631440,332477
432348,6334828,3343971,3277153,3022809,4226270,4571257,5489784,5258051,4520443,3451125
197869,,,,,,,,,,
168786,43045708,43667525,40841693,37933751,38163133,33268080,28932645,32254548,31685094,25888548
176600,,,,,,,,,,
126289,,,,,,,,,,
211088,70402000,71792000,69496000,64189000,67727000,68878000,59226000,52942000,55477000,46779000
105899,999388,1030924,1054850,1900778,1896178,1928167,1923396,1941776,1867761,1861417
104151,,,,,,,,,,
483124,,,,,,,,,,
448886,,,,,,,,,,
420574,,,,,,,,,,
407009,,,,,,,,,,
106306,,,,,,,,47497,97497,47497
488527,595485,500000,500000,,,,,,,
106458,,,,,,,,,,
106467,,,,,,,,,,
222877,,,,,,,,,,
201061,2182028,2280785,1960915,1784402,1737990,1638932,1456719,1396088,5860001,5209198
109651,99830000,97518000,90479000,80805000,87010000,85148000,69706000,58480000,50393000,42869000
156222,150440011,148290629,147683396,138701748,152464386,153104603,131835456,127350572,136763365,120283287
156213,54987082,49116604,46168426,42645195,43429283,42038629,37169130,33602108,33834898,29525885
201104,45330389,45554224,41288116,36762677,46425166,46653132,48386718,42897835,45429329,36741017
