UnitID,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
177834,,,,,,,,,,
180203,,,,,,,,,,
222178,61,62,61,62,57,59,60,57,61,58
138558,22,23,23,16,,,,,,
451079,,,,,,,,,,
457271,,,,,,,,,,
108269,,,,,,,,,,
210508,,,,,,,,,,
384306,,,,,,,,,,
126182,33,29,30,23,25,25,23,27,32,30
188429,68,68,67,64,63,66,66,68,62,64
374024,,,,,,,,,,
142832,,,,,,,,,,
168528,52,53,54,51,54,59,49,44,46,50
133872,45,54,62,57,17,50,38,83,100,67
138600,66,70,68,73,72,64,65,68,67,71
200697,,,,,,,,,,
100654,24,32,31,35,29,32,32,33,29,33
483975,,,,,,,,,,
100724,28,22,27,26,25,26,26,24,22,21
102580,0,10,,,,67,50,0,,
102669,53,48,58,58,40,52,46,27,48,33
188526,58,48,71,66,72,70,68,64,68,71
188535,,,,,,,,,,
188580,,,,,,,,,,
138716,34,31,31,40,42,39,41,45,42,50
385415,,,,,,,,,,
128498,57,52,59,50,43,43,51,52,46,56
168546,57,71,65,72,74,72,76,74,74,73
132842,70,29,42,50,17,39,9,24,48,69
241331,,,,,,,,,,
210571,53,54,58,53,54,53,60,61,62,64
175342,32,30,34,40,34,31,33,37,38,39
495192,,,,,,,,,,
237118,47,49,36,43,45,42,49,51,39,45
188641,53,61,60,55,62,63,60,64,69,67
156189,21,31,28,51,32,36,45,38,36,36
210669,75,76,75,78,79,78,80,78,74,74
200873,11,9,22,31,46,56,29,12,50,44
152798,,,,,65,82,50,81,50,56
217624,24,18,19,28,23,21,7,8,19,6
168591,68,67,62,61,61,67,67,63,64,70
168607,,,,,,,,,,
210775,60,53,51,53,51,51,53,53,54,53
238193,45,42,42,36,39,39,40,37,38,39
222628,,,,,,,,,,
490081,20,,,,,,,,,
142887,62,43,51,51,43,47,44,47,45,48
219505,8,21,21,40,50,43,43,100,100,100
210809,,,,,,,,,,
485698,,,,,,,,,,
109086,,,,,,,,,,
108870,,,,,,,,,,
164447,41,44,36,41,45,39,36,37,43,33
142957,,,,,,,,,,
116846,29,43,68,55,50,62,44,39,28,70
188854,57,43,55,66,,,100,,,
240736,,,,,,,,26,,
131159,79,81,81,82,80,77,77,79,77,76
241100,39,24,31,24,26,31,30,35,31,0
