UnitID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
177834,4267,4307,4311,4303,4123,4109,3838,4126,4395,4244
180203,201,265,351,282,372,441,278,353,213,231
222178,6058,5864,5709,5566,5131,4785,4853,4776,4938,5120
138558,4667,5402,6347,4012,3991,4007,4005,3867,3935,3989
451079,109,90,87,84,83,84,85,89,102,77
457271,72,72,70,65,74,74,64,70,70,61
108269,225,160,158,137,137,149,159,121,150,133
210508,24,27,26,31,29,29,27,26,26,29
384306,133,121,108,119,131,161,175,202,221,183
126182,3883,3696,4217,4343,4336,4029,4142,4139,4210,4151
188429,9074,9191,9113,8866,8373,9397,9442,9669,9876,10175
374024,415,448,440,471,445,477,430,491,494,466
142832,2102,2064,1921,1554,1469,1313,1234,1220,1116,988
168528,1858,1947,1800,1768,1794,1685,1656,1836,1739,1729
133872,2302,2199,2504,2438,2533,2624,2810,3236,3514,3527
138600,1166,1076,970,981,959,928,960,973,943,1021
200697,1409,1170,1163,1183,1196,1031,1087,987,862,946
100654,6560,6686,6508,6392,6157,5872,5591,5513,5557,6388
483975,672,655,642,608,471,325,162,,,
100724,4640,4892,5374,5916,6101,6261,6992,6782,6368,6517
102580,49,54,44,51,42,47,46,61,46,80
102669,636,597,592,622,641,845,906,940,923,918
188526,1294,1374,1415,1427,1487,1566,1647,1705,1654,1609
188535,574,516,456,396,428,490,608,631,707,747
188580,888,884,880,845,861,844,859,868,852,834
138716,7339,7576,10150,9171,3949,4459,4782,4855,5405,5348
385415,1504,1524,,,,,,,,
128498,1793,1924,1991,2127,2145,2054,2052,2260,2532,2514
168546,1500,1589,1634,1476,1405,1284,1337,1398,1558,1629
132842,1012,1025,1097,1366,1475,1273,1229,1298,1343,1373
241331,2486,2108,1960,1731,2091,1286,1063,1050,1020,1003
210571,1996,2075,2146,2459,2384,2568,2569,2618,2710,2678
175342,3944,4072,3887,3910,4059,4119,4356,4512,4825,4385
495192,,,,,,,,,,
237118,1036,1055,1168,1221,1286,1232,1233,949,714,717
188641,2950,3502,2812,2756,2623,2617,2521,2584,2614,2543
156189,632,625,626,609,617,661,633,653,640,630
210669,1843,1830,1859,1957,1981,2087,2222,2209,2189,2224
200873,84,80,89,80,80,63,51,53,52,52
152798,809,844,840,848,833,807,808,781,710,700
217624,1249,873,612,665,676,830,743,789,765,905
168591,1518,1481,1465,1484,1427,1438,1451,1505,1437,1445
168607,2250,2356,2389,2279,1833,2017,2206,2541,2626,2678
210775,3311,3352,3457,3534,3525,3588,3638,3839,4152,4052
238193,1986,2003,2140,2238,2427,2689,2795,2914,2919,3111
222628,1997,2050,2231,2159,2375,2414,2218,2258,2280,2392
490081,139,102,61,60,,,,,,
142887,208,247,266,306,335,390,427,465,496,511
219505,113,133,135,159,178,187,187,149,126,91
210809,13822,14769,14668,16736,20413,20056,20911,342,919,743
485698,94,74,,,,,,,,
109086,103,98,120,97,123,114,108,28,104,80
108870,374,375,379,374,366,371,349,359,349,356
164447,3226,3714,3824,4053,4633,4766,4821,4321,4275,4309
142957,17,19,26,40,55,41,,,,
116846,154,170,169,174,188,212,233,260,265,251
188854,2113,1913,1722,1853,1829,2344,1961,1643,1515,1460
240736,1272,1499,1370,1581,1635,1791,2110,2464,2621,2744
131159,16032,16079,15394,14971,14882,13973,13778,13917,13515,13618
241100,487,550,603,851,843,980,1258,1364,1573,1758
241128,655,714,842,1099,1119,1172,1357,1327,1427,1495
164465,1940,1946,1946,1945,1921,1910,1898,1923,1904,1905
100690,1079,1058,967,868,830,860,985,1016,1103,1062
151865,108,119,118,112,129,126,136,114,136,181
150066,2023,1934,2053,2419,2644,2806,2785,2937,3003,3047
217633,4113,3828,4021,3779,3605,3443,3219,3172,3023,2746
138761,345,343,327,320,352,333,345,325,361,387
168740,4767,4754,4735,4567,4582,4745,4899,4743,4635,4573
222831,12030,11737,11820,11025,10063,7593,7467,9258,8042,7996
164492,1705,1637,1662,1657,1747,1790,1839,1788,1725,1767
109350,18528,18541,18532,18189,18654,18985,18817,17355,17899,19052
483018,103,115,147,233,272,249,191,111,,
458113,39,36,52,69,70,67,62,71,92,80
485908,303,233,153,211,202,122,,,,
245838,1370,1266,1350,1544,1592,1436,1392,1568,1283,1261
245892,66,176,209,239,264,314,556,590,820,949
245865,1019,1184,1028,990,936,888,976,930,1058,1109
442392,180,181,175,172,159,156,152,147,154,145
245847,469,482,434,466,559,632,477,507,496,497
245883,929,861,760,781,888,910,1113,1094,1132,1273
237136,276,323,302,295,311,317,311,329,306,343
449922,224,222,210,208,202,218,222,228,221,207
432348,171,152,143,117,112,158,225,263,335,313
197869,20799,20714,20285,19974,19516,19548,19449,19345,19089,18911
168786,1775,1903,1927,1975,2081,2148,2419,2488,2375,2502
176600,131,169,152,167,156,177,187,188,206,222
126289,19102,15565,14803,14866,14593,17187,19770,22815,23034,18336
211088,4226,4268,4575,4515,4443,4687,4993,4782,4642,4983
105899,986,857,834,926,903,828,725,724,643,514
104151,82880,56567,55681,56958,57350,56094,53582,53190,81789,79274
483124,69608,58961,48591,39104,31119,21325,15012,10879,,
448886,,12750,13139,13001,12368,12730,11861,11155,,
420574,,5709,5497,4969,4551,4434,4161,4207,,
407009,,5098,4674,4358,4172,4283,4246,4521,,
106306,747,812,858,1096,1313,1210,1306,1371,1571,1398
488527,516,318,162,,,,,,,
106458,18762,18977,19032,19148,18105,17446,17545,17945,18137,17591
106467,13316,13722,13487,13677,13900,14169,13626,13222,12749,11783
222877,164,184,214,234,257,267,292,319,264,266
201061,229,216,194,212,217,212,221,209,244,222
109651,3064,2970,2984,2865,2778,2721,2664,2547,2519,2256
156222,2052,1973,1941,1957,1893,1825,1705,1739,1823,1896
156213,2080,2169,2138,2065,2064,2023,1985,1930,1875,1799
201104,6497,9564,9954,10354,8030,8527,8087,8487,8136,8919
188942,194,202,145,152,181,151,107,137,134,110
164562,2701,2659,2728,2913,2984,3052,3051,3115,3140,3078
440651,929,1077,1275,1431,1722,1762,1767,1905,2224,2074
201140,216,234,248,251,236,290,261,284,258,266
100812,3878,3982,4112,4113,4124,4304,4391,4700,4690,4782
138901,2676,3277,3709,4068,4437,4586,4505,4576,4367,4661
439446,139,191,190,194,202,178,182,184,182,169
241216,1964,1941,1889,1846,1804,1756,1686,1728,1774,1896
100858,32840,32442,31845,30392,29237,27761,26555,26706,27046,26840
100830,6199,6296,6033,5775,5996,6194,6268,6173,6606,7119
173045,4122,3920,4124,4194,4141,4077,4310,4128,4613,4935
482149,9706,9575,9278,8998,8854,9126,9648,10498,,
143084,2611,2601,2696,2591,2571,2543,2569,2730,2737,2692
219000,2384,2282,2287,2152,2039,2014,1957,1974,1962,1941
201177,396,415,468,528,490,518,414,450,458,353
143118,7433,7093,7011,6782,6547,6146,7485,7471,7592,8004
222983,1326,1317,1250,1304,1294,1329,1254,1292,1382,1338
222992,63569,58856,62493,64105,65917,66234,67145,69534,70452,77953
247825,39,44,44,60,59,61,68,81,80,69
219602,12796,12707,12156,12144,11853,11920,12592,12541,12694,12534
223001,158,168,180,173,180,196,206,190,189,183
442295,316,275,265,267,289,291,333,394,492,473
446048,1187,1138,1171,1160,1172,1124,1028,1007,898,877
231420,932,999,968,906,904,914,950,980,963,971
449931,701,870,965,1186,1453,1637,1696,1944,2188,2513
176628,2167,2057,2125,2205,2368,2421,2322,2477,2345,2262
109785,10989,11843,11582,11559,11631,10686,12627,12153,11586,11474
164580,3987,4095,4079,3726,3508,3482,3681,3770,3918,3959
206817,314,322,1048,1094,1020,1102,1114,1224,1303,1403
128586,50,56,42,50,67,74,72,65,82,82
476601,73,80,77,60,58,60,49,43,55,
245777,124,105,98,109,144,138,73,34,30,20
490513,58,92,85,89,,,,,,
495031,61,,,,,,,,,
449658,127,175,167,163,169,165,164,166,163,110
168847,8977,11733,16796,24536,32756,36444,6204,7748,9216,10211
154688,3384,3506,3624,3741,3593,3911,4168,4365,4549,5029
109819,37642,36168,33600,31636,28307,25878,24908,23674,24675,27426
420705,153,143,141,147,219,207,237,187,354,349
201195,4066,4390,4578,4612,4785,4784,4941,5022,5069,5262
150136,25247,24901,25671,26419,25500,23130,23275,24174,24880,25777
189015,827,810,821,773,919,982,1130,1033,1322,1428
176664,239,267,320,417,426,414,405,457,593,601
219639,1112,1236,1302,1202,1211,1313,1273,1236,1224,1152
223117,168,178,190,209,159,159,155,147,148,134
444398,171,176,201,246,219,204,269,231,251,277
155070,243,296,291,325,349,271,298,289,263,261
189088,2915,2542,2505,2557,2533,2574,3431,3282,3267,3065
167792,427,428,432,402,381,363,380,377,379,408
189097,2771,2723,2681,2668,2669,2696,2632,2609,2544,2519
177719,1031,1035,1044,1014,1076,1171,1231,1197,1321,970
132471,8800,8509,8489,8679,9387,9945,10601,10887,10673,11200
197911,1276,1196,1083,1148,1150,1128,1151,1184,1345,1373
235547,1121,1183,1264,1294,1327,1291,1199,1184,1068,1031
160977,1958,1964,1927,1905,1903,1920,1916,1902,1900,1862
380359,701,670,620,596,635,662,758,782,730,750
164632,4626,4270,4230,4109,3825,3369,3243,2864,2780,2561
223223,1653,1648,1739,1635,1628,1649,1627,1607,1550,1489
223232,19632,18956,18261,18094,17861,17380,16726,16526,16225,16083
476717,640,660,631,592,502,417,336,289,228,
384254,440,425,371,343,303,245,203,196,173,158
164720,1973,2160,2290,2675,2544,2399,2207,2091,2038,2081
444413,164,143,147,132,125,115,123,131,139,129
175421,6383,5647,5496,6135,6074,5792,5421,5022,4602,4340
156286,3967,3807,4216,4544,4239,4106,3969,4132,4011,3889
234669,19073,19966,20125,20297,20975,21253,21653,21950,22452,23059
180814,17737,12588,11653,10975,12268,12801,12870,13131,13911,15251
238324,907,808,593,517,482,461,408,403,356,405
234696,3206,3378,3574,3668,3623,3647,3633,3929,4681,5502
197984,1600,1677,1721,1633,1676,1717,1875,1928,1897,1967
219709,9023,8733,8502,8246,7880,7730,7425,7120,6673,6543
238333,1302,1379,1501,1509,1467,1410,1435,1417,1489,1428
173124,6168,6354,6476,6466,6396,6227,6170,6349,6645,6870
217721,2163,2312,2291,2552,2729,2742,2822,3238,3583,3508
154712,2283,2216,2283,2380,2271,2294,2272,2355,2420,2256
145619,6403,7116,7648,7855,8607,9229,9215,8867,9517,10152
165884,945,839,910,934,930,818,736,757,724,773
197993,320,558,541,531,641,736,740,777,793,816
230816,901,886,915,887,877,821,797,871,873,865
164739,5579,5735,5810,5771,5854,6078,6015,5882,6040,6092
156295,1707,1725,1724,1710,1717,1716,1726,1732,1734,1678
461643,64,71,86,85,62,71,56,48,40,31
108861,43,62,70,57,82,79,96,77,86,86
164748,8191,8031,7913,7410,7035,5809,5433,5289,5161,4670
139144,2228,2240,2250,2339,2380,2313,2342,2257,2196,2220
485999,162,139,139,119,130,166,,,,
189273,81,74,56,38,45,47,55,48,57,44
183804,7800,7742,7645,7547,7906,7760,7244,6977,7137,7031
486196,238,186,199,199,219,166,,,,
488314,90,89,85,66,57,,,,,
237181,576,614,710,719,854,997,1002,1100,910,1020
154721,826,928,816,760,753,768,732,667,656,636
486284,405,429,363,324,239,185,,,,
173142,884,821,753,631,607,581,626,646,641,639
143233,72,67,64,56,62,74,73,72,60,82
154749,486,566,546,507,598,587,568,534,580,544
262022,48,166,192,174,202,199,205,207,233,229
219718,5758,6523,6844,7470,7675,7602,8545,8450,6872,5836
150145,1681,1733,1790,1895,2009,2129,2167,2251,2450,2547
173160,4921,4639,4277,4350,4591,4697,5005,5200,5372,5178
110060,466,476,494,503,455,399,412,363,346,378
486053,237,219,208,203,214,208,,,,
132602,3221,3962,4493,4070,4287,4520,3959,3965,3885,3822
139153,599,591,641,655,802,787,932,978,1009,845
443702,95,91,70,55,42,81,17,17,15,12
196079,19660,19454,18892,18758,18451,18110,17508,16771,16145,16203
110097,6748,6522,6585,6519,6714,6738,6791,6766,6868,6758
100937,1237,1341,1316,1325,1382,1235,1225,1256,1354,1594
442949,15,33,59,84,98,104,117,107,114,112
200022,4855,4848,4948,5067,5225,5211,5228,5277,5548,5089
219046,5860,5768,6075,6021,6255,6634,6497,6442,6396,6830
143288,553,582,584,623,626,620,631,570,591,624
143297,234,320,357,282,268,273,277,299,309,289
183822,1737,1815,1980,2159,2187,2202,2194,2254,2427,2542
211158,9568,9843,10288,10656,10829,11050,11201,11192,11522,11644
175430,941,735,688,653,569,628,643,622,659,662
231554,1161,1426,1258,1237,1245,1153,1062,1091,979,816
237215,1435,1456,1600,1558,1734,1798,2101,2390,2531,2586
201371,860,839,911,1072,1151,1261,1294,1407,1431,1325
217749,3750,3455,3383,3375,3493,3539,3786,3993,4218,4385
142090,102,114,145,153,163,196,192,217,249,202
142115,33158,32552,31066,30267,28888,29065,29428,30015,29684,29520
233356,551,546,611,640,647,582,521,364,313,295
189413,1058,1028,1043,1226,1348,1516,1371,1510,1713,1547
164872,946,871,875,891,966,1130,1359,1128,1187,1721
164614,77,83,93,80,87,107,102,98,124,141
164924,16502,15981,15903,15649,15594,15524,15591,16263,16483,16674
164915,156,162,168,173,161,163,158,177,180,180
164988,42047,42779,41418,40807,40176,40944,41428,41615,41276,40968
161004,1973,1969,1967,1965,1952,1940,1963,1947,1911,1910
162007,7010,7069,6998,6570,6186,6403,6309,6276,6430,6220
201432,2679,2461,2457,2591,2818,2738,2899,2981,3042,3114
201441,20945,20534,20459,20395,19460,18975,19316,19665,20228,20442
143358,6377,6323,6148,6178,5926,5716,5793,5834,5978,6206
165015,6403,6400,6330,6325,6408,6535,6415,6651,6384,6271
262086,15535,14109,11462,10929,12014,11999,11767,11348,11688,10081
223506,5805,6278,6200,6346,6348,6356,6358,6272,6392,6528
139199,3595,3672,3699,3714,3826,3890,3505,3516,3475,3480
156356,1114,1155,1459,1611,1187,1137,1119,1039,857,810
198066,785,730,698,741,759,745,736,690,688,678
139205,1037,1035,985,978,798,946,1009,1080,1019,1156
152992,1219,1379,1366,1486,1282,1264,1300,1388,1286,1385
231581,1797,1922,1936,1959,1896,1822,1905,1809,1700,1737
165024,13150,13583,13215,13289,12987,13243,13299,13499,13510,13561
230047,3583,3875,4065,3914,3463,3241,3822,3749,3771,3678
142522,58767,68597,78838,69458,65811,41019,43278,37423,30025,24584
230038,39086,39233,39515,39582,39577,37617,36554,41624,39996,40203
450304,187,213,242,250,227,214,232,231,233,248
189501,1096,1126,1169,1171,1206,1167,1166,1303,1412,1529
132709,57071,59756,60896,62013,63024,63389,62508,61784,62796,60085
217156,10807,10760,10694,10335,10097,9791,9581,9465,9396,9276
180878,917,1029,781,816,811,820,738,765,800,633
219790,2316,1667,1746,2066,1785,2043,2096,1992,2317,1948
217165,4104,4098,4002,3932,3880,3706,3657,3655,3716,3816
210492,325,347,372,366,302,296,288,269,258,234
211273,1788,1799,1738,1788,1791,1817,1842,1890,1879,1859
211291,3868,3842,3832,3829,3800,3796,3703,3745,3760,3819
153001,2435,2538,2721,2878,3311,3446,3613,3575,3839,3860
209409,1092,1196,1204,1111,973,884,866,816,762,667
150163,5955,5863,5306,5163,5056,5195,5080,4837,4818,4983
444103,43,31,29,22,20,27,30,16,15,14
198109,556,542,518,533,537,545,543,574,592,520
211352,2859,2660,2461,2777,2765,2696,2848,3710,4225,4600
215114,1695,1576,1489,1463,1428,1372,1445,1384,1386,1476
183910,2435,2466,2397,2516,2412,2527,2557,2524,2711,2692
494940,22,,,,,,,,,
110361,13374,12862,12055,11332,10604,9278,8819,7946,6575,5822
110918,13,17,20,21,20,24,33,39,43,26
110370,1957,2136,2171,2280,2125,2146,2101,2052,2167,2061
485263,610,933,1238,1327,1394,1211,1281,,,
478634,286,362,514,460,544,533,373,274,,
474890,407,710,801,837,966,889,705,633,497,470
487649,254,148,68,22,14,18,,,,
110316,1750,1601,1704,1752,1631,1398,1416,1635,1568,1603
110404,2319,2334,2321,2279,2344,2319,2291,2327,2324,2274
111081,1558,1618,1627,1554,1489,1549,1512,1470,1454,1491
483586,,15,,156,95,39,88,,,
486488,51,63,65,69,64,72,,,,
110413,4987,5145,4974,4967,4910,4928,5110,5139,4927,4812
110422,22817,23278,23630,22168,21717,20916,20416,19312,19459,19077
110529,29687,28547,28093,26669,24564,25000,23663,23011,22923,22770
111188,1016,1122,1153,1181,1147,1065,1062,993,901,870
110486,12854,12944,12128,11152,10637,10319,9896,9995,9496,9456
441937,8436,8348,8336,7161,6762,6350,5631,5093,4644,4229
110538,18664,19323,19754,19004,18624,18410,17812,17385,17115,16912
110547,19491,18196,17926,15580,15429,15346,15526,14969,15825,15909
110574,18717,18549,19613,17600,17440,16816,16900,16205,16114,15357
