UnitID,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
177834,,,,,,,,,,
180203,44,34,64,63,48,42,54,52,65,50
222178,79,77,77,76,79,75,79,75,75,71
138558,63,64,66,64,61,59,60,53,50,68
451079,,,,,,,,,,
457271,,,,,,,,,,
108269,,,,,,,,,,
210508,,,,,,,,,,
384306,,,,,,,,,,
126182,59,54,62,61,53,58,56,59,54,62
188429,79,80,80,83,84,83,81,82,81,82
374024,,,,,,,,,,
142832,,,,,,,,,,
168528,64,71,64,69,71,60,58,67,70,70
133872,61,66,79,68,56,70,71,50,93,63
138600,85,79,87,85,87,82,83,82,83,79
200697,,,,,,,,,,
100654,57,61,59,58,58,66,63,68,64,75
483975,,,,,,,,,,
100724,61,59,59,63,60,57,62,62,54,64
102580,43,100,100,40,67,33,60,50,60,63
102669,72,81,78,51,56,77,67,65,76,67
188526,72,81,80,82,88,80,81,83,79,72
188535,,,,,,,,,,
188580,,,,,,,,,,
138716,61,62,71,67,78,69,70,67,65,72
385415,,,,,,,,,,
128498,67,68,69,70,68,84,93,63,76,72
168546,80,75,79,82,80,84,81,73,84,79
132842,60,87,71,60,50,56,100,63,68,85
241331,85,65,100,100,,,,,,
210571,69,68,69,71,78,76,71,74,74,75
175342,80,73,75,72,76,76,68,69,67,69
495192,,,,,,,,,,
237118,50,51,57,55,55,56,58,66,67,65
188641,73,73,68,76,75,75,75,68,73,77
156189,60,48,81,84,64,75,63,49,53,59
210669,86,82,81,83,83,83,85,89,87,86
200873,58,67,89,90,67,80,45,38,73,39
152798,,,,,,100,,,,
217624,56,37,36,48,39,50,45,61,36,43
168591,77,79,77,80,84,79,79,80,81,76
168607,61,65,65,62,58,61,58,60,59,61
210775,72,74,77,82,76,77,71,75,72,72
238193,71,68,71,72,69,74,72,73,70,69
222628,,,,,,,,,,
490081,,,50,,,,,,,
142887,78,78,75,76,72,72,81,78,72,74
219505,77,67,62,73,67,67,60,50,60,70
210809,,,,,,,,,,
485698,64,,,,,,,,,
109086,,,,,,,,,,
108870,,,,,,,,,,
164447,69,64,60,69,72,69,65,61,65,64
142957,,,50,50,100,,,,,
116846,,70,50,88,50,86,83,75,65,100
188854,80,73,72,80,75,81,83,79,95,83
240736,,,,67,100,100,100,31,64,64
131159,87,88,90,90,88,89,88,90,90,91
241100,59,67,56,51,56,66,59,78,80,70
241128,64,74,67,47,55,67,67,81,76,68
164465,97,96,97,96,98,98,98,98,98,96
100690,,,,9,67,0,38,75,75,80
151865,,,,,,,,,,
150066,69,64,73,77,75,75,73,75,79,70
217633,80,79,75,75,73,77,73,77,72,68
138761,75,50,,43,59,47,44,40,53,47
168740,87,82,88,87,80,79,79,79,78,77
222831,69,67,67,67,63,62,55,59,61,63
164492,65,63,69,67,65,66,69,61,61,53
109350,,,,,72,75,74,72,73,70
483018,68,47,58,57,81,92,89,,,
458113,,,33,100,100,100,50,86,71,71
485908,,,,,,,,,,
