UNITID,IN_21,OUT_21,IN_20,OUT_20,IN_19,OUT_19,IN_18,OUT_18,IN_17,OUT_17,IN_16,OUT_16,IN_15,OUT_15,IN_14,OUT_14,IN_13,OUT_13,IN_12,OUT_12,IN_11,OUT_11
177834,,,,,,,,,,,,,,,,,,,,,,
180203,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410
222178,37800,37800,36300,36300,34850,34850,33330,33330,32070,32070,30830,30830,29450,29450,28350,28350,26770,26770,25270,25270,22760,22760
138558,3565,10471,3565,10471,3503,10241,3503,10241,3453,10060,3453,10060,3394,9839,3848,11516,3279,9413,3172,9210,2962,8962
451079,,,,,,,,,,,,,,,,,,,,,,
457271,,,,,,,,,,,,,,,,,,,,,,
108269,,,,,,,,,,,,,,,,,,,,,,
210508,,,,,,,,,,,,,,,,,,,,,,
384306,,,,,,,,,,,,,,,,,,,,,,
126182,9560,21296,9440,20864,9440,20456,9440,20456,9153,20169,8574,19086,8014,18814,7449,18081,6448,17416,5627,15875,4971,14931
188429,41435,41435,40300,40300,38740,38740,37170,37170,35740,35740,34034,34034,32340,32340,30800,30800,29320,29320,28460,28460,27900,27900
374024,,,,,,,,,,,,,,,,,,,,,,
142832,,,,,,,,,,,,,,,,,,,,,,
168528,38730,38730,37809,37809,37087,37087,36010,36010,34890,34890,33610,33610,32660,32660,30758,30758,29156,29156,27440,27440,25900,25900
133872,19800,19800,12840,12840,12240,12240,14400,14400,13480,13480,13030,13030,12430,12430,11830,11830,10780,10780,10030,10030,9580,9580
138600,44250,44250,42690,42690,41160,41160,39960,39960,38472,38472,37236,37236,35982,35982,34788,34788,33461,33461,32195,32195,31283,31283
200697,,,,,,,,,,,,,,,,,,,,,,
100654,10024,18634,10024,18634,9744,18354,9857,18236,9366,17496,9366,17136,9096,16596,7182,12774,7182,12774,6828,12156,5800,10672
483975,,,,,,,,,,,,,,,,,,,,,,
100724,11068,19396,11068,19396,11068,19396,11068,19396,9220,16156,8723,15656,8720,15656,8720,15656,7932,14244,8082,14394,7164,13476
102580,9700,9700,9700,9700,9600,9600,9350,9350,9300,9300,9300,9300,9300,9300,9200,9200,7130,7130,7130,7130,7130,7130
102669,20760,20760,20760,20760,20760,20760,20760,20760,20310,20310,19610,19610,19610,19610,29810,29810,29810,29810,27110,27110,26360,26360
188526,36745,36745,36745,36745,35105,35105,33621,33621,31981,31981,31081,31081,30131,30131,28900,28900,27595,27595,26380,26380,25120,25120
188535,,,,,,,,,,,,,,,,,,,,,,
188580,,,,,,,,,,,,,,,,,,,,,,
138716,5934,16656,5934,16656,5735,16196,5675,16136,5490,15738,5490,15738,5192,15196,6024,18226,5912,17816,5802,17416,4592,13880
385415,,,,,,,,,,,,,,,,,,,,,,
128498,35410,35410,33260,33260,32060,32060,31140,31140,30526,30526,29650,29650,28930,28930,28378,28378,28358,28358,26294,26294,24374,24374
168546,50775,50775,48275,48275,45590,45590,43050,43050,41040,41040,39313,39313,37485,37485,36051,36051,34194,34194,32662,32662,31186,31186
132842,12444,12444,12444,12444,12444,12444,12444,12444,12384,12384,12384,12384,12240,12240,12048,12048,12048,12048,12048,12048,12048,12048
241331,7434,7434,7434,7434,7284,7284,7868,7868,7221,7221,7006,7006,7006,7006,,,,,,,,
210571,26688,26688,25642,25642,45306,45306,43454,43454,41544,41544,39850,39850,38220,38220,36660,36660,35320,35320,33990,33990,32740,32740
175342,7290,7290,7290,7290,7084,7084,6888,6888,6546,6546,6386,6386,6200,6200,6108,6108,5712,5712,5247,5247,4858,11949
495192,,,,,,,,,,,,,,,,,,,,,,
237118,29220,29220,29220,29220,27910,27910,26610,26610,25350,25350,24140,24140,22740,22740,22740,22740,22740,22740,22740,22740,22204,22204
188641,34960,34960,34770,34770,29188,29188,28114,28114,27078,27078,26261,26261,26026,26026,25430,25430,27794,27794,26884,26884,25976,25976
156189,14230,14230,12230,12230,11550,11550,11550,11550,11550,11550,11460,11460,10980,10980,10620,10620,10100,10100,9600,9600,9500,9500
210669,50980,50980,49260,49260,47540,47540,45970,45970,44250,44250,42470,42470,40660,40660,39100,39100,37610,37610,36190,36190,34810,34810
200873,6800,6800,7000,7000,7000,7000,5000,5000,5000,5000,5000,5000,4800,4800,4800,4800,4800,4800,4440,4440,4440,4440
152798,19512,19512,19052,19052,18662,18662,18226,18226,17769,17769,17373,17373,19295,19295,18829,18829,18103,18103,17616,17616,14995,14995
217624,13340,13340,13340,13340,12940,12940,13140,13140,13140,13140,13140,13140,13140,13140,11940,11940,12140,12140,11940,11940,10884,10884
168591,42622,42622,41398,41398,40258,40258,38768,38768,37310,37310,35428,35428,34220,34220,32660,32660,30960,30960,29230,29230,27580,27580
168607,7110,7110,7050,7050,6840,6840,6630,6630,6450,6450,6210,6210,5970,5970,5790,5790,5520,5520,5160,6480,4660,6040
210775,38030,38030,36350,36350,34900,34900,33640,33640,32270,32270,31100,31100,30080,30080,29060,29060,27950,27950,26630,26630,25480,25480
238193,30658,30658,29456,29456,28302,28302,28277,28277,26932,26932,25660,25660,24434,24434,23231,23231,22126,22126,21069,21069,20060,20060
222628,,,,,,,,,,,,,,,,,,,,,,
490081,6250,6250,5500,5500,5500,5500,5770,5770,,,,,,,,,,,,,,
142887,35270,35270,35270,35270,34270,34270,33220,33220,32220,32220,31220,31220,30220,30220,29020,29020,27770,27770,26570,26570,25570,25570
219505,12474,12474,12474,12474,10074,10074,10074,10074,10074,10074,10074,10074,9610,9610,9350,9350,9372,9372,8594,8594,6194,6194
210809,,,,,,,,,,,,,,,,,,,,,,
485698,20572,20572,20572,20572,,,,,,,,,,,,,,,,,,
109086,30800,30800,30456,30456,29560,29560,28705,28705,27801,27801,26951,26951,,,,,,,19059,19059,,
108870,,,,,,,,,,,,,,,,,,,,,,
164447,38220,38220,36930,36930,35680,35680,34470,34470,33140,33140,31870,31870,30940,30940,30040,30040,29158,29158,27902,27902,26700,26700
142957,7600,7600,7600,7600,,,7600,7600,7600,7600,7600,7600,,,,,,,,,,
116846,32404,32404,,,31946,31946,30938,30938,30338,30338,30236,30236,29132,29132,27900,27900,27080,27080,25788,25788,24542,24542
188854,41960,41960,40444,40444,38900,38900,37370,37370,35900,35900,33920,33920,32620,32620,31820,31820,31308,31308,30260,30260,28799,28799
240736,3950,4250,3950,4250,3950,4250,3950,4250,3550,3850,3550,3850,3550,3600,3550,3850,3400,3700,2940,3220,2900,3180
131159,51361,51361,49889,49889,48459,48459,46615,46615,44853,44853,43103,43103,41833,41833,40649,40649,39499,39499,38071,38071,36697,36697
241128,6555,6555,6365,6365,6221,6221,5811,5811,5811,5811,5811,5811,5521,5521,5521,5521,5347,5347,5105,5105,4865,4865
241100,6555,6555,6365,6365,6221,6221,5811,5811,5811,5811,5811,5811,5521,5521,5521,5521,5347,5347,5105,5105,4865,4865
164465,60890,60890,58640,58640,56426,56426,54310,54310,52476,52476,50562,50562,48526,48526,46574,46574,44610,44610,42898,42898,40862,40862
100690,6950,6950,6950,6950,6900,6900,6900,6900,7180,7180,6900,6900,6900,6900,6870,6870,6800,6800,8720,8720,8360,8360
151865,,,,,,,,,,,,,,,,,,,,,,
217633,29980,29980,29230,29230,28000,28000,26970,26970,25880,25880,24860,24860,23750,23750,22790,22790,21730,21730,20910,20910,19950,19950
150066,32100,32100,31230,31230,30450,30450,29710,29710,28650,28650,27680,27680,26850,26850,26280,26280,25560,25560,24610,24610,24000,24000
138761,19172,19172,18258,18258,17388,17388,16560,16560,15770,15770,14924,14924,14226,14226,13560,13560,12916,12916,12492,12492,12138,12138
168740,31008,31008,30158,30158,29288,29288,28436,28436,27684,27684,27000,27000,26256,26256,25470,25470,24478,24478,23428,23428,22242,22242
222831,7907,17723,7637,17765,7436,17396,7201,17161,7047,16839,6892,16252,6856,15544,6559,15055,6327,14751,6211,13723,5672,13112
164492,39470,39470,38630,38630,37860,37860,37130,37130,36110,36110,35074,35074,34060,34060,32134,32134,30676,30676,29860,29860,28204,28204
109350,1124,6980,1124,6380,1124,6500,1124,6500,1104,6168,1104,5664,1104,5664,1104,5664,1104,5328,780,6270,780,6270
483018,37143,37143,37143,37143,35568,35568,35568,35568,35568,35568,34004,34004,30950,30950,27505,27505,,,,,,
458113,8420,8420,8420,8420,8420,8420,8100,8100,8100,8100,8100,8100,8160,8160,8050,8050,6830,6830,6075,6075,4525,4525
485908,,,,,,,,,,,,,,,,,,,,,,
245838,,,,,,,,,,,,,,,,,,,,,,
245892,,,,,,,,,,,,,,,,,,,,,,
